id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
49788,1,1,78500,"Novi Sad","Gradske lokacije",55,NULL,2020,1,3,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
27065,1,1,78385,Kragujevac,"Gradske lokacije",61,NULL,2020,2,6,0,NULL,2.5,1,1,1,1
31290,1,1,78280,"Novi Sad","Gradske lokacije",38,NULL,2020,1,3,1,"grejanje na gas",1.5,1,NULL,NULL,1
47630,1,1,78280,"Novi Sad","Gradske lokacije",76,NULL,2020,0,2,NULL,"grejanje na gas",3.5,NULL,1,NULL,1
49481,1,1,78080,"Novi Sad","Gradske lokacije",63,NULL,2020,3,4,NULL,"grejanje na gas",3,NULL,NULL,1,1
46697,1,1,78034,"Novi Sad","Gradske lokacije",53,NULL,2020,0,4,1,"grejanje na gas",2.5,1,NULL,1,1
51334,1,1,78000,Beograd,"Zemun opstina",37,NULL,2020,0,4,0,NULL,2,NULL,NULL,NULL,1
41981,1,1,77900,"Novi Sad","Gradske lokacije",68,NULL,2020,3,3,NULL,"grejanje na gas",3,NULL,NULL,1,NULL
46866,1,1,77900,"Novi Sad","Gradske lokacije",42,NULL,2020,1,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
55081,1,1,77900,"Novi Sad","Gradske lokacije",42,NULL,2020,1,5,NULL,"centralno grejanje",2,NULL,NULL,1,1
49623,1,1,77850,"Novi Sad","Gradske lokacije",56,NULL,2020,2,2,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
20975,1,1,77600,"Novi Sad","Gradske lokacije",43,NULL,2020,3,3,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
55886,1,1,77490,"Novi Sad","Gradske lokacije",47,NULL,2020,1,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
46786,1,1,77450,"Novi Sad","Gradske lokacije",47,NULL,2020,0,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
46794,1,1,77450,"Novi Sad","Gradske lokacije",47,NULL,2020,3,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
46806,1,1,77450,"Novi Sad","Gradske lokacije",47,NULL,2020,2,4,NULL,"grejanje na gas",2,NULL,NULL,1,1
